t,line
0.373,"view 'knn': quantising against x [-61.571681365966796, 18.65543685913086], y [-22.400528774261474, 57.82658945083618]"
0.373,"        the data spans x [-60.78514099121094, 17.868896484375], y [-15.247759819030762, 50.67382049560547] — 64252 x 53852 of the 65536 x 65536 cells"
0.374,"        10000000 point(s) placed, none on the frame's edge"
0.374,"schema: 4 column(s), 8.00 B/row against the 12 B fixed row (+67%)"
0.374,        7.44 GiB per 10^9 items — unalterable without rewriting the corpus
0.374,        every column materialises in EVERY view — including ones whose items carry no value for it (§3.9). Per-view columns need contracts §2.6's per-view enumeration
0.545,stage       source_ids      0.17s  rows=10000000     peak=   175 MiB
7.175,stage       dictionary      6.63s  rows=18           peak=   840 MiB
12.551,stage    geometry_read      5.38s  rows=10000000     peak=  1932 MiB
12.551,stage       pairs_pack      0.00s  rows=46017422     peak=  1932 MiB
14.047,stage   signature_sort      1.50s  rows=10000000     peak=  1932 MiB
17.953,stage       assignment      3.91s  rows=10000000     peak=  1932 MiB
19.126,stage       assignment      1.17s  rows=10000000     peak=  1932 MiB
20.641,stage   postings_write      1.51s  rows=46017422     peak=  1932 MiB
20.641,stage     external_ids      0.00s  rows=0            peak=  1932 MiB
27.146,"attribute 'published': 9,992,314 of 10,000,000 entities have a value"
27.146,"attribute 'title': 9,990,914 of 10,000,000 entities have a value"
27.146,"attribute 'mesh_major': 8,449,628 of 10,000,000 entities have a value"
27.146,"attribute 'pmid': 10,000,000 of 10,000,000 entities have a value"
27.146,        0 source row(s) named entities this build did not load
27.146,stage   attribute_tail      6.51s  rows=10000000     peak=  1932 MiB
137.459,stage           layers    110.31s  rows=2            peak=  2441 MiB
170.810,stage       text_index     13.74s  rows=904589       peak=  3694 MiB
170.810,stage  filter_postings     19.61s  rows=10000000     peak=  3694 MiB
185.836,stage      record_blob     15.03s  rows=10000000     peak=  3694 MiB
186.024,stage   column_release      0.19s  rows=10000000     peak=  3694 MiB
186.455,stage       tiler_sort      0.43s  rows=10000000     peak=  3694 MiB
187.328,stage    segment_write      0.87s  rows=10000000     peak=  3694 MiB
234.900,"artifact layouts, chosen from the bundle's own row space (47568 ms):"
234.901,"  clusters/kmeans level 0 [knn]: 135 artifact(s) with rows, 0.541 everywhere, 5.0 blocks/artifact, disjoint — served rows"
234.901,"  mesh/descriptors level 0 [knn]: 30119 artifact(s) with rows, 0.988 everywhere, 71.1 blocks/artifact, overlapping — served list"
234.901,"  wrote 1 tile index(es), 1 row-major column(s), 2 containment partition(s), 0 shape row form(s), 0 decomposition file(s)"
235.870,stage        manifests     48.54s  rows=3163528625   peak=  4682 MiB
236.213,view 'knn': 10000000 point(s) landed in 8981578 distinct cell(s) — 89.8% of them have a position of their own
